,Time,Sample#,Result
236,3:09.728,68302,N
237,3:10.539,68594,N
238,3:11.350,68886,N
239,3:12.197,69191,N
240,3:13.064,69503,N
241,3:13.878,69796,N
242,3:14.647,70073,N
243,3:15.436,70357,N
244,3:16.231,70643,N
245,3:17.058,70941,N
246,3:17.889,71240,N
247,3:18.719,71539,N
248,3:19.569,71845,N
249,3:20.383,72138,N
250,3:21.158,72417,N
251,3:21.953,72703,N
252,3:22.772,72998,N
253,3:23.614,73301,N
254,3:24.475,73611,N
255,3:25.308,73911,N
256,3:26.100,74196,N
257,3:26.897,74483,N
258,3:27.686,74767,N
259,3:28.294,74986,A
260,3:29.256,75332,N
261,3:30.089,75632,N
262,3:30.928,75934,N
263,3:31.758,76233,N
264,3:32.542,76515,N
265,3:33.292,76785,N
266,3:34.094,77074,N
267,3:34.906,77366,N
268,3:35.731,77663,N
269,3:36.539,77954,N
270,3:37.364,78251,N
271,3:38.164,78539,N
272,3:38.956,78824,N
273,3:39.722,79100,N
274,3:40.517,79386,N
275,3:41.358,79689,N
276,3:42.197,79991,N
277,3:43.028,80290,N
278,3:43.842,80583,N
279,3:44.633,80868,N
280,3:45.422,81152,N
281,3:46.219,81439,N
282,3:47.028,81730,N
283,3:47.861,82030,N
284,3:48.708,82335,N
285,3:49.544,82636,N
286,3:50.353,82927,N
287,3:51.136,83209,N
288,3:51.922,83492,N
289,3:52.761,83794,N
290,3:53.619,84103,N
291,3:54.464,84407,N
292,3:55.303,84709,N
293,3:56.139,85010,N
294,3:56.953,85303,N
295,3:57.722,85580,N
296,3:58.528,85870,N
297,3:59.364,86171,N
298,4:00.217,86478,N
299,4:01.056,86780,N
300,4:01.886,87079,N
301,4:02.678,87364,N
302,4:03.478,87652,N
303,4:04.281,87941,N
304,4:05.089,88232,N
305,4:05.917,88530,N
306,4:06.761,88834,N
307,4:07.597,89135,N
308,4:08.392,89421,N
309,4:09.175,89703,N
310,4:09.967,89988,N
311,4:10.794,90286,N
312,4:11.639,90590,N
313,4:12.458,90885,N
314,4:13.306,91190,N
315,4:14.114,91481,N
316,4:14.892,91761,N
317,4:15.683,92046,N
318,4:16.494,92338,N
319,4:17.314,92633,N
320,4:18.178,92944,N
321,4:19.017,93246,N
322,4:19.817,93534,N
323,4:20.622,93824,N
324,4:21.394,94102,N
325,4:22.208,94395,N
326,4:23.036,94693,N
327,4:23.878,94996,N
328,4:24.717,95298,N
329,4:25.572,95606,N
330,4:26.369,95893,N
331,4:27.142,96171,N
332,4:27.917,96450,N
333,4:28.739,96746,N
334,4:29.583,97050,N
335,4:30.411,97348,N
336,4:31.233,97644,N
337,4:32.044,97936,N
338,4:32.856,98228,N
339,4:33.633,98508,N
340,4:34.414,98789,N
341,4:35.233,99084,N
342,4:36.061,99382,N
343,4:36.608,99579,A
344,4:37.583,99930,N
345,4:38.383,100218,N
346,4:39.156,100496,N
347,4:39.947,100781,N
348,4:40.753,101071,N
349,4:41.558,101361,N
350,4:42.369,101653,N
351,4:43.169,101941,N
352,4:43.983,102234,N
353,4:44.767,102516,N
354,4:45.536,102793,N
355,4:46.317,103074,N
356,4:47.142,103371,N
357,4:47.969,103669,N
358,4:48.789,103964,N
359,4:49.614,104261,N
360,4:50.403,104545,N
361,4:51.194,104830,N
362,4:51.994,105118,N
363,4:52.797,105407,N
364,4:53.631,105707,N
365,4:54.486,106015,N
366,4:55.317,106314,N
367,4:56.111,106600,N
368,4:56.894,106882,N
369,4:57.664,107159,N
370,4:58.481,107453,N
371,4:59.306,107750,N
372,5:00.125,108045,N
373,5:00.950,108342,N
374,5:01.786,108643,N
375,5:02.572,108926,N
376,5:03.331,109199,N
377,5:04.128,109486,N
378,5:04.922,109772,N
379,5:05.767,110076,N
380,5:06.594,110374,N
381,5:07.425,110673,N
382,5:08.231,110963,N
383,5:09.011,111244,N
384,5:09.789,111524,N
385,5:10.583,111810,N
386,5:11.411,112108,N
387,5:12.236,112405,N
388,5:13.083,112710,N
389,5:13.889,113000,N
390,5:14.669,113281,N
391,5:15.450,113562,N
392,5:16.250,113850,N
393,5:17.061,114142,N
394,5:17.856,114428,N
395,5:18.656,114716,N
396,5:19.444,115000,N
397,5:20.222,115280,N
398,5:20.964,115547,N
399,5:21.708,115815,N
400,5:22.456,116084,N
401,5:23.247,116369,N
402,5:24.039,116654,N
403,5:24.831,116939,N
404,5:25.592,117213,N
405,5:26.372,117494,N
406,5:27.128,117766,N
407,5:27.900,118044,N
408,5:28.675,118323,N
409,5:29.464,118607,N
410,5:30.308,118911,N
411,5:31.153,119215,N
412,5:31.969,119509,N
413,5:32.753,119791,N
414,5:33.547,120077,N
415,5:34.378,120376,N
416,5:35.211,120676,N
417,5:36.083,120990,N
418,5:36.944,121300,N
419,5:37.789,121604,N
420,5:38.581,121889,N
421,5:39.361,122170,N
422,5:40.167,122460,N
423,5:40.972,122750,N
424,5:41.806,123050,N
425,5:42.667,123360,N
426,5:43.511,123664,N
427,5:44.267,123936,N
428,5:45.058,124221,N
429,5:45.853,124507,N
430,5:46.597,124775,N
431,5:47.389,125060,N
432,5:48.208,125355,N
433,5:49.022,125648,N
434,5:49.794,125926,N
435,5:50.564,126203,N
436,5:51.322,126476,N
437,5:52.072,126746,N
438,5:52.847,127025,N
439,5:53.647,127313,N
440,5:54.453,127603,N
441,5:55.256,127892,N
442,5:55.792,128085,A
443,5:56.731,128423,N
444,5:57.494,128698,N
445,5:58.217,128958,N
446,5:58.972,129230,N
447,5:59.775,129519,N
448,6:00.550,129798,N
449,6:01.269,130057,N
450,6:01.994,130318,N
451,6:02.689,130568,N
452,6:03.383,130818,N
453,6:04.092,131073,N
454,6:04.794,131326,N
455,6:05.511,131584,N
456,6:06.253,131851,N
457,6:07.006,132122,N
458,6:07.725,132381,N
459,6:08.414,132629,N
460,6:09.119,132883,N
461,6:09.811,133132,N
462,6:10.528,133390,N
463,6:11.283,133662,N
464,6:12.036,133933,N
465,6:12.769,134197,N
466,6:13.508,134463,N
467,6:14.269,134737,N
468,6:14.972,134990,N
469,6:15.675,135243,N
470,6:16.400,135504,N
471,6:17.167,135780,N
472,6:17.947,136061,N
473,6:18.750,136350,N
474,6:19.528,136630,N
475,6:20.275,136899,N
476,6:21.028,137170,N
477,6:21.803,137449,N
478,6:22.581,137729,N
479,6:23.356,138008,N
480,6:24.178,138304,N
481,6:24.994,138598,N
482,6:25.800,138888,N
483,6:26.567,139164,N
484,6:27.333,139440,N
485,6:28.108,139719,N
486,6:28.914,140009,N
487,6:29.728,140302,N
488,6:30.553,140599,N
489,6:31.336,140881,N
490,6:32.089,141152,N
491,6:32.842,141423,N
492,6:33.567,141684,N
493,6:34.286,141943,N
494,6:35.019,142207,N
495,6:35.775,142479,N
496,6:36.519,142747,N
497,6:37.250,143010,N
498,6:37.958,143265,N
499,6:38.653,143515,N
500,6:39.350,143766,N
501,6:40.069,144025,N
502,6:40.794,144286,N
503,6:41.547,144557,N
504,6:42.311,144832,N
505,6:43.086,145111,N
506,6:43.836,145381,N
507,6:44.575,145647,N
508,6:45.283,145902,N
509,6:46.028,146170,N
510,6:46.792,146445,N
511,6:47.603,146737,N
512,6:48.369,147013,N
513,6:49.139,147290,N
514,6:49.903,147565,N
515,6:50.644,147832,N
516,6:51.386,148099,N
517,6:52.119,148363,N
518,6:52.881,148637,N
519,6:53.656,148916,N
520,6:54.456,149204,N
521,6:55.244,149488,N
522,6:56.022,149768,N
523,6:56.750,150030,N
524,6:57.508,150303,N
525,6:58.264,150575,N
526,6:59.025,150849,N
527,6:59.783,151122,N
528,7:00.575,151407,N
529,7:01.389,151700,N
530,7:02.150,151974,N
531,7:02.881,152237,N
532,7:03.639,152510,N
533,7:04.392,152781,N
534,7:05.186,153067,N
535,7:06.006,153362,N
536,7:06.789,153644,N
537,7:07.561,153922,N
538,7:08.314,154193,N
539,7:09.083,154470,N
540,7:09.836,154741,N
541,7:10.581,155009,N
542,7:11.364,155291,N
543,7:12.189,155588,N
544,7:12.958,155865,N
545,7:13.700,156132,N
546,7:14.431,156395,N
547,7:15.133,156648,N
548,7:15.850,156906,N
549,7:16.578,157168,N
550,7:17.306,157430,N
551,7:18.042,157695,N
552,7:18.778,157960,N
553,7:19.536,158233,N
554,7:20.247,158489,N
555,7:20.917,158730,N
556,7:21.594,158974,N
557,7:22.292,159225,N
558,7:22.997,159479,N
559,7:23.717,159738,N
560,7:24.447,160001,N
561,7:25.167,160260,N
562,7:25.853,160507,N
563,7:26.542,160755,N
564,7:27.236,161005,N
565,7:27.928,161254,N
566,7:28.608,161499,N
567,7:29.344,161764,N
568,7:30.097,162035,N
569,7:30.856,162308,N
570,7:31.592,162573,N
571,7:32.319,162835,N
572,7:33.036,163093,N
573,7:33.783,163362,N
574,7:34.525,163629,N
575,7:35.275,163899,N
576,7:36.061,164182,N
577,7:36.836,164461,N
578,7:37.586,164731,N
579,7:38.308,164991,N
580,7:39.017,165246,N
581,7:39.719,165499,N
582,7:40.433,165756,N
583,7:41.200,166032,N
584,7:41.947,166301,N
585,7:42.694,166570,N
586,7:43.447,166841,N
587,7:44.197,167111,N
588,7:44.919,167371,N
589,7:45.669,167641,N
590,7:46.422,167912,N
591,7:47.197,168191,N
592,7:48.011,168484,N
593,7:48.844,168784,N
594,7:49.650,169074,N
595,7:50.414,169349,N
596,7:51.192,169629,N
597,7:51.964,169907,N
598,7:52.781,170201,N
599,7:53.597,170495,N
600,7:54.219,170719,A
601,7:55.206,171074,N
602,7:56.031,171371,N
603,7:56.811,171652,N
604,7:57.558,171921,N
605,7:58.331,172199,N
606,7:59.114,172481,N
607,7:59.933,172776,N
608,8:00.742,173067,N
609,8:01.531,173351,N
610,8:02.303,173629,N
611,8:03.075,173907,N
612,8:03.822,174176,N
613,8:04.586,174451,N
614,8:05.381,174737,N
615,8:06.175,175023,N
616,8:07.008,175323,N
617,8:07.800,175608,N
618,8:08.547,175877,N
619,8:09.292,176145,N
620,8:10.075,176427,N
621,8:10.828,176698,N
622,8:11.597,176975,N
623,8:12.356,177248,N
624,8:13.119,177523,N
625,8:13.881,177797,N
626,8:14.608,178059,N
627,8:15.322,178316,N
628,8:16.050,178578,N
629,8:16.781,178841,N
630,8:17.547,179117,N
631,8:18.300,179388,N
632,8:19.061,179662,N
633,8:19.797,179927,N
634,8:20.506,180182,N
635,8:21.231,180443,N
636,8:21.958,180705,N
637,8:22.678,180964,N
638,8:23.433,181236,N
639,8:24.231,181523,N
640,8:25.031,181811,N
641,8:25.789,182084,N
642,8:26.536,182353,N
643,8:27.289,182624,N
644,8:28.044,182896,N
645,8:28.836,183181,N
646,8:29.653,183475,N
647,8:30.494,183778,N
648,8:31.308,184071,N
649,8:32.114,184361,N
650,8:32.914,184649,N
651,8:33.703,184933,N
652,8:34.481,185213,N
653,8:35.306,185510,N
654,8:36.189,185828,N
655,8:37.047,186137,N
656,8:37.856,186428,N
657,8:38.658,186717,N
658,8:39.458,187005,N
659,8:40.253,187291,N
660,8:41.047,187577,N
661,8:41.867,187872,N
662,8:42.719,188179,N
663,8:43.558,188481,N
664,8:44.342,188763,N
665,8:45.119,189043,N
666,8:45.917,189330,N
667,8:46.733,189624,N
668,8:47.581,189929,N
669,8:48.411,190228,N
670,8:49.247,190529,N
671,8:50.056,190820,N
672,8:50.867,191112,N
673,8:51.653,191395,N
674,8:52.428,191674,N
675,8:53.269,191977,N
676,8:54.114,192281,N
677,8:54.931,192575,N
678,8:55.728,192862,N
679,8:56.517,193146,N
680,8:57.286,193423,N
681,8:58.064,193703,N
682,8:58.872,193994,N
683,8:59.669,194281,N
684,9:00.483,194574,N
685,9:01.300,194868,N
686,9:02.100,195156,N
687,9:02.850,195426,N
688,9:03.614,195701,N
689,9:04.383,195978,N
690,9:05.189,196268,N
691,9:06.000,196560,N
692,9:06.797,196847,N
693,9:07.589,197132,N
694,9:08.372,197414,N
695,9:09.125,197685,N
696,9:09.861,197950,N
697,9:10.622,198224,N
698,9:11.400,198504,N
699,9:12.197,198791,N
700,9:12.986,199075,N
701,9:13.758,199353,N
702,9:14.497,199619,N
703,9:15.261,199894,N
704,9:16.003,200161,N
705,9:16.761,200434,N
706,9:17.539,200714,N
707,9:18.314,200993,N
708,9:19.086,201271,N
709,9:19.847,201545,N
710,9:20.572,201806,N
711,9:21.297,202067,N
712,9:22.053,202339,N
713,9:22.817,202614,N
714,9:23.600,202896,N
715,9:24.394,203182,N
716,9:25.189,203468,N
717,9:25.947,203741,N
718,9:26.725,204021,N
719,9:27.497,204299,N
720,9:28.261,204574,N
721,9:29.039,204854,N
722,9:29.883,205158,N
723,9:30.719,205459,N
724,9:31.492,205737,N
725,9:32.267,206016,N
726,9:33.022,206288,N
727,9:33.797,206567,N
728,9:34.567,206844,N
729,9:35.361,207130,N
730,9:36.169,207421,N
731,9:37.011,207724,N
732,9:37.789,208004,N
733,9:38.547,208277,N
734,9:39.300,208548,N
735,9:40.061,208822,N
736,9:40.833,209100,N
737,9:41.644,209392,N
738,9:42.453,209683,N
739,9:43.258,209973,N
740,9:44.044,210256,N
741,9:44.817,210534,N
742,9:45.581,210809,N
743,9:46.347,211085,N
744,9:47.122,211364,N
745,9:47.928,211654,N
746,9:48.753,211951,N
747,9:49.522,212228,N
748,9:50.283,212502,N
749,9:51.047,212777,N
750,9:51.828,213058,N
751,9:52.572,213326,N
752,9:53.350,213606,N
753,9:54.150,213894,N
754,9:54.947,214181,N
755,9:55.736,214465,N
756,9:56.494,214738,N
757,9:57.236,215005,N
758,9:58.000,215280,N
759,9:58.786,215563,N
760,9:59.583,215850,N
761,10:00.392,216141,N
762,10:01.197,216431,N
763,10:01.972,216710,N
764,10:02.750,216990,N
765,10:03.522,217268,N
766,10:04.297,217547,N
767,10:05.067,217824,N
768,10:05.894,218122,N
769,10:06.711,218416,N
770,10:07.508,218703,N
771,10:08.256,218972,N
772,10:09.017,219246,N
773,10:09.803,219529,N
774,10:10.592,219813,N
775,10:11.383,220098,N
776,10:12.197,220391,N
777,10:13.031,220691,N
778,10:13.825,220977,N
779,10:14.589,221252,N
780,10:15.353,221527,N
781,10:16.122,221804,N
782,10:16.892,222081,N
783,10:17.708,222375,N
784,10:18.517,222666,N
785,10:19.308,222951,N
786,10:20.075,223227,N
787,10:20.853,223507,N
788,10:21.619,223783,N
789,10:22.353,224047,N
790,10:23.133,224328,N
791,10:23.947,224621,N
792,10:24.764,224915,N
793,10:25.542,225195,N
794,10:26.311,225472,N
795,10:27.064,225743,N
796,10:27.844,226024,N
797,10:28.600,226296,N
798,10:29.369,226573,N
799,10:30.175,226863,N
800,10:30.956,227144,N
801,10:31.742,227427,N
802,10:32.506,227702,N
803,10:33.264,227975,N
804,10:33.994,228238,N
805,10:34.767,228516,N
806,10:35.578,228808,N
807,10:36.372,229094,N
808,10:37.156,229376,N
809,10:37.944,229660,N
810,10:38.711,229936,N
811,10:39.483,230214,N
812,10:40.236,230485,N
813,10:41.003,230761,N
814,10:41.828,231058,N
815,10:42.658,231357,N
816,10:43.439,231638,N
817,10:44.203,231913,N
818,10:44.972,232190,N
819,10:45.719,232459,N
820,10:46.478,232732,N
821,10:47.267,233016,N
822,10:48.058,233301,N
823,10:48.856,233588,N
824,10:49.653,233875,N
825,10:50.419,234151,N
826,10:51.153,234415,N
827,10:51.900,234684,N
828,10:52.664,234959,N
829,10:53.469,235249,N
830,10:54.297,235547,N
831,10:55.078,235828,N
832,10:55.856,236108,N
833,10:56.639,236390,N
834,10:57.400,236664,N
835,10:58.131,236927,N
836,10:58.903,237205,N
837,10:59.708,237495,N
838,11:00.508,237783,N
839,11:01.306,238070,N
840,11:02.064,238343,N
841,11:02.806,238610,N
842,11:03.567,238884,N
843,11:04.325,239157,N
844,11:05.092,239433,N
845,11:05.881,239717,N
846,11:06.656,239996,N
847,11:07.406,240266,N
848,11:08.169,240541,N
849,11:08.914,240809,N
850,11:09.625,241065,N
851,11:10.328,241318,N
852,11:11.078,241588,N
853,11:11.819,241855,N
854,11:12.539,242114,N
855,11:13.258,242373,N
856,11:13.978,242632,N
857,11:14.664,242879,N
858,11:15.367,243132,N
859,11:16.078,243388,N
860,11:16.786,243643,N
861,11:17.522,243908,N
862,11:18.308,244191,N
863,11:19.058,244461,N
864,11:19.803,244729,N
865,11:20.511,244984,N
866,11:21.239,245246,N
867,11:21.986,245515,N
868,11:22.753,245791,N
869,11:23.514,246065,N
870,11:24.311,246352,N
871,11:25.131,246647,N
872,11:25.931,246935,N
873,11:26.669,247201,N
874,11:27.414,247469,N
875,11:28.172,247742,N
876,11:28.936,248017,N
877,11:29.722,248300,N
878,11:30.517,248586,N
879,11:31.328,248878,N
880,11:32.106,249158,N
881,11:32.869,249433,N
882,11:33.628,249706,N
883,11:34.411,249988,N
884,11:35.203,250273,N
885,11:35.994,250558,N
886,11:36.828,250858,N
887,11:37.667,251160,N
888,11:38.447,251441,N
889,11:39.194,251710,N
890,11:39.983,251994,N
891,11:40.792,252285,N
892,11:41.622,252584,N
893,11:42.411,252868,N
894,11:43.219,253159,N
895,11:44.044,253456,N
896,11:44.836,253741,N
897,11:45.583,254010,N
898,11:46.339,254282,N
899,11:47.181,254585,N
900,11:48.031,254891,N
901,11:48.806,255170,N
902,11:49.592,255453,N
903,11:50.383,255738,N
904,11:51.186,256027,N
905,11:51.931,256295,N
906,11:52.700,256572,N
907,11:53.500,256860,N
908,11:54.325,257157,N
909,11:55.108,257439,N
910,11:55.861,257710,N
911,11:56.572,257966,N
912,11:57.294,258226,N
913,11:57.994,258478,N
914,11:58.714,258737,N
915,11:59.458,259005,N
916,12:00.222,259280,N
917,12:00.947,259541,N
918,12:01.697,259811,N
919,12:02.433,260076,N
920,12:03.150,260334,N
921,12:03.847,260585,N
922,12:04.589,260852,N
923,12:05.367,261132,N
924,12:06.158,261417,N
925,12:06.917,261690,N
926,12:07.689,261968,N
927,12:08.447,262241,N
928,12:09.211,262516,N
929,12:09.969,262789,N
930,12:10.728,263062,N
931,12:11.528,263350,N
932,12:12.336,263641,N
933,12:13.142,263931,N
934,12:13.936,264217,N
935,12:14.719,264499,N
936,12:15.478,264772,N
937,12:16.283,265062,N
938,12:17.094,265354,N
939,12:17.919,265651,N
940,12:18.742,265947,N
941,12:19.550,266238,N
942,12:20.356,266528,N
943,12:21.153,266815,N
944,12:21.942,267099,N
945,12:22.708,267375,N
946,12:23.553,267679,N
947,12:24.383,267978,N
948,12:25.167,268260,N
949,12:25.956,268544,N
950,12:26.731,268823,N
951,12:27.506,269102,N
952,12:28.289,269384,N
953,12:29.081,269669,N
954,12:29.889,269960,N
955,12:30.714,270257,N
956,12:31.528,270550,N
957,12:32.281,270821,N
958,12:33.039,271094,N
959,12:33.806,271370,N
960,12:34.600,271656,N
961,12:35.422,271952,N
962,12:36.233,272244,N
963,12:37.036,272533,N
964,12:37.886,272839,N
965,12:38.675,273123,N
966,12:39.428,273394,N
967,12:40.208,273675,N
968,12:41.019,273967,N
969,12:41.844,274264,N
970,12:42.667,274560,N
971,12:43.478,274852,N
972,12:44.253,275131,N
973,12:45.008,275403,N
974,12:45.753,275671,N
975,12:46.525,275949,N
976,12:47.319,276235,N
977,12:48.100,276516,N
978,12:48.900,276804,N
979,12:49.728,277102,N
980,12:50.522,277388,N
981,12:51.247,277649,N
982,12:52.008,277923,N
983,12:52.808,278211,N
984,12:53.661,278518,N
985,12:54.483,278814,N
986,12:55.272,279098,N
987,12:56.061,279382,N
988,12:56.600,279576,A
989,12:57.550,279918,N
990,12:58.358,280209,N
991,12:59.197,280511,N
992,13:00.039,280814,N
993,13:00.861,281110,N
994,13:01.672,281402,N
995,13:02.450,281682,N
996,13:03.208,281955,N
997,13:03.978,282232,N
998,13:04.758,282513,N
999,13:05.558,282801,N
1000,13:06.378,283096,N
1001,13:07.192,283389,N
1002,13:07.978,283672,N
1003,13:08.733,283944,N
1004,13:09.489,284216,N
1005,13:10.253,284491,N
1006,13:11.050,284778,N
1007,13:11.869,285073,N
1008,13:12.675,285363,N
1009,13:13.481,285653,N
1010,13:14.267,285936,N
1011,13:15.028,286210,N
1012,13:15.794,286486,N
1013,13:16.564,286763,N
1014,13:17.364,287051,N
1015,13:18.203,287353,N
1016,13:19.042,287655,N
1017,13:19.844,287944,N
1018,13:20.625,288225,N
1019,13:21.406,288506,N
1020,13:22.200,288792,N
1021,13:22.989,289076,N
1022,13:23.814,289373,N
1023,13:24.631,289667,N
1024,13:25.475,289971,N
1025,13:26.269,290257,N
1026,13:27.050,290538,N
1027,13:27.814,290813,N
1028,13:28.636,291109,N
1029,13:29.464,291407,N
1030,13:30.267,291696,N
1031,13:31.083,291990,N
1032,13:31.892,292281,N
1033,13:32.683,292566,N
1034,13:33.456,292844,N
1035,13:34.231,293123,N
1036,13:35.031,293411,N
1037,13:35.867,293712,N
1038,13:36.697,294011,N
1039,13:37.489,294296,N
1040,13:38.281,294581,N
1041,13:39.047,294857,N
1042,13:39.839,295142,N
1043,13:40.614,295421,N
1044,13:41.436,295717,N
1045,13:42.258,296013,N
1046,13:43.108,296319,N
1047,13:43.919,296611,N
1048,13:44.692,296889,N
1049,13:45.469,297169,N
1050,13:46.250,297450,N
1051,13:47.050,297738,N
1052,13:47.867,298032,N
1053,13:48.706,298334,N
1054,13:49.519,298627,N
1055,13:50.333,298920,N
1056,13:51.128,299206,N
1057,13:51.897,299483,N
1058,13:52.656,299756,N
1059,13:53.475,300051,N
1060,13:54.333,300360,N
1061,13:55.172,300662,N
1062,13:55.944,300940,N
1063,13:56.694,301210,N
1064,13:57.483,301494,N
1065,13:58.281,301781,N
1066,13:59.064,302063,N
1067,13:59.853,302347,N
1068,14:00.678,302644,N
1069,14:01.519,302947,N
