,Result,Target,PR_Interval,RR_Interval,RS_Interval
90,j,1,0,0,4667.591667
91,j,1,0.105555556,0.158333333,0.180555556
92,J,1,0,0,3424.483333
93,J,1,0,0,3396.880556
94,(AFIB,1,0,0,4726.263889
95,j,1,0.105555556,0.080555556,0.422222222
96,(AFIB,1,0,0,4129.125
97,j,1,0,0,4565.416667
98,j,1,0,0,4028.286111
99,j,1,4519.616667,4519.555556,0.086111111
100,N,0,0.169444444,0.102777778,0.091666667
101,j,1,0,0,4556.413889
102,N,0,0.086111111,0.15,0.258333333
103,N,0,0.244444444,0.161111111,0.058333333
104,(AFL,1,0.286111111,0.130555556,0.208333333
105,j,1,0.177777778,0.111111111,0.130555556
106,j,1,0,0,4041.388889
107,j,1,4420.652778,4420.461111,-4420.652778
108,J,1,0.116666667,0.180555556,0.380555556
109,j,1,0,0,3979.344444
110,j,1,0,0,4170.225
111,(AFIB,1,0.191666667,0.3,0.344444444
112,(AFIB,1,0,0,3807.330556
113,j,1,0,0,4269.786111
114,(AFIB,1,0,0,4162.588889
115,J,1,0.080555556,0.1,0.319444444
116,j,1,0,0,4044.008333
117,j,1,0.236111111,0.077777778,0.15
118,j,1,0,0,4287.819444
119,N,0,0.136111111,0.175,0.230555556
120,j,1,0,0,4406.202778
121,j,1,0.177777778,0.1,0.136111111
122,(AFL,1,0,0,4486.097222
123,j,1,0.219444444,0.144444444,0.394444444
124,N,0,0.083333333,0.15,0.25
125,N,0,0.083333333,0.177777778,0.222222222
126,j,1,0.141666667,0.05,0.161111111
127,J,1,0.088888889,0.133333333,0.35
128,(AFL,1,0.177777778,0.091666667,0.45
129,N,0,0.088888889,0.108333333,0.211111111
130,(AFL,1,0.069444444,0.133333333,0.225
131,J,1,0.077777778,0.102777778,0.316666667
132,j,1,0.136111111,0.213888889,0.247222222
133,j,1,0.186111111,0.197222222,0.136111111
134,J,1,0.083333333,0.122222222,0.336111111
135,j,1,0.369444444,0.311111111,0.402777778
136,J,1,0,0,3381.577778
137,j,1,0,0,4053.966667
138,(AFIB,1,0.247222222,-4144.116667,-4144.363889
139,J,1,0.138888889,0.180555556,0.363888889
140,J,1,0.161111111,0.227777778,0.272222222
141,N,0,0.069444444,0.125,0.208333333
142,j,1,0.108333333,0.166666667,0.441666667
143,j,1,3899.802778,3899.655556,0.172222222
144,j,1,0,0,3957.708333
145,(AFL,1,0.069444444,0.122222222,0.302777778
146,(AFIB,1,0,0,0
147,(AFIB,1,0.111111111,0.175,-4135.230556
148,j,1,0.272222222,0.086111111,-4295.5
149,j,1,0,0,3793.077778
150,J,1,0,0,3394.875
151,j,1,0,0,4753.380556
152,(AFL,1,0.061111111,0.122222222,0.622222222
153,J,1,0.175,0.147222222,0.352777778
154,j,1,0.119444444,0.041666667,0.213888889
155,J,1,0,0,3421.258333
156,j,1,0.191666667,0.086111111,0.486111111
157,j,1,0,0,0
158,j,1,0.161111111,0.127777778,-4664
159,j,1,3959.625,3959.547222,0.141666667
160,(AFL,1,0.066666667,0.130555556,0.3
161,j,1,0,0,3962.830556
162,j,1,0,0,4280.433333
163,(AFIB,1,0,0,3273.297222
164,j,1,0.138888889,0.102777778,0.416666667
165,(AFL,1,0.069444444,0.1,0.261111111
166,j,1,0.075,0.113888889,0.175
167,J,1,0.088888889,0.113888889,0.302777778
168,j,1,0.211111111,0.097222222,-4434.127778
169,(AFIB,1,0.211111111,0.280555556,0.352777778
170,j,1,0.219444444,0.038888889,0.161111111
171,(AFIB,1,0,0,3930.263889
172,j,1,0,0,3640.302778
173,j,1,3897.905556,3897.916667,0.388888889
174,N,0,0.094444444,0.155555556,0.297222222
175,j,1,0.061111111,0.047222222,0.144444444
176,N,0,0.075,0.105555556,0.166666667
177,j,1,0,0,4282.041667
178,j,1,0.216666667,0.075,0.155555556
179,(AFIB,1,0.066666667,0.122222222,0.216666667
180,j,1,0.038888889,0.080555556,0.461111111
181,(AFIB,1,0,0,4229.241667
182,j,1,0,0,3847.616667
183,(AFL,1,0.144444444,0.113888889,0.172222222
184,j,1,0,0,4377.263889
185,j,1,0.088888889,0.113888889,0.472222222
186,(AFIB,1,0,0,3348.822222
187,(AFIB,1,0.061111111,0.158333333,0.263888889
188,j,1,0.022222222,0.025,0.180555556
189,(AFL,1,0.25,0.177777778,0.161111111
190,J,1,0.083333333,0.122222222,0.319444444
191,N,0,0.072222222,0.122222222,0.280555556
192,(AFIB,1,0.058333333,0.166666667,0.272222222
193,(AFIB,1,0,0,4458.152778
194,j,1,0,0,4435.352778
195,N,0,0.080555556,0.088888889,0.236111111
196,j,1,0,0,0
197,(AFIB,1,0,0,0
198,(AFIB,1,0.175,0.116666667,0.219444444
199,j,1,0.180555556,0.108333333,0.138888889
200,j,1,0,0,4573.369444
201,J,1,0.119444444,0.175,0.366666667
202,j,1,0.227777778,0.069444444,0.272222222
203,j,1,0.077777778,0.036111111,0.136111111
204,N,0,0.077777778,0.138888889,0.205555556
205,(AFIB,1,0,0,3925.355556
206,(AFL,1,0.166666667,0.108333333,0.166666667
207,j,1,4264.413889,4264.258333,0.147222222
208,(AFIB,1,0.255555556,0.127777778,-4708
209,j,1,0.169444444,0.102777778,-3958.455556
210,J,1,0,0,3393.844444
211,j,1,4559.547222,4559.591667,0.202777778
212,(AFIB,1,0.175,0.305555556,0.291666667
213,(AFIB,1,0,0,0
214,(AFIB,1,0,0,4431.1
215,j,1,0,0,4294.061111
216,(AFIB,1,0,0,0
217,j,1,0,0,4877.066667
218,j,1,0.125,0.152777778,0.261111111
219,j,1,0,0,3838.636111
220,J,1,0,0,3380.636111
221,(AFL,1,0.113888889,0.188888889,0.233333333
222,j,1,0.211111111,0.094444444,0.391666667
223,(AFIB,1,0.161111111,0.186111111,0.197222222
224,j,1,0,0,3834.011111
225,j,1,0.175,0.233333333,0.211111111
226,j,1,0.175,0.113888889,0.158333333
227,N,0,0.069444444,0.102777778,0.163888889
228,N,0,0.055555556,0.077777778,0.161111111
229,(AFIB,1,0.330555556,0.275,0.366666667
230,J,1,0.033333333,0.086111111,0.369444444
231,j,1,4422.561111,4422.608333,0.211111111
232,(AFL,1,0.077777778,0.133333333,0.422222222
233,(AFL,1,0.083333333,0.152777778,0.336111111
234,j,1,0,0,3473.45
235,(AFIB,1,0.197222222,0.277777778,0.361111111
236,J,1,0.052777778,0.108333333,0.272222222
237,(AFIB,1,0.069444444,0.125,0.3
238,j,1,0.05,0.088888889,0.213888889
239,N,0,0.083333333,0.166666667,0.263888889
240,j,1,0.155555556,0.080555556,0.188888889
241,(AFIB,1,0,0,4052.152778
242,j,1,0,0,4679.747222
243,(AFIB,1,0,0,0
244,j,1,3975.613889,3975.55,-3975.613889
245,(AFIB,1,0,0,4240.941667
246,j,1,0.258333333,0.166666667,-4376.188889
247,j,1,0.186111111,0.027777778,0.177777778
248,j,1,0.105555556,0.166666667,0.283333333
249,N,0,4361.377778,4361.427778,0.45
250,N,0,0.211111111,0.136111111,0.213888889
251,j,1,0,0,4453.219444
252,j,1,0.111111111,0.052777778,0.152777778
253,(AFL,1,0.238888889,0.122222222,0.352777778
254,(AFIB,1,0,0,3795.097222
255,j,1,0.158333333,0.125,0.091666667
256,(AFIB,1,0,0,0
257,j,1,0.063888889,0.227777778,0.358333333
258,(AFIB,1,0,0,3492.738889
259,(AFL,1,0.061111111,0.119444444,0.277777778
260,(AFIB,1,0,0,3357.063889
261,(AFIB,1,0,0,3782.6
262,J,1,0,0,3954.947222
263,J,1,0.233333333,0.319444444,0.377777778
264,j,1,0.166666667,0.038888889,0.444444444
265,(AFIB,1,0.086111111,0.194444444,0.466666667
266,J,1,0.091666667,0.138888889,0.358333333
267,J,1,0.072222222,0.119444444,0.383333333
268,(AFIB,1,0,0,0
269,j,1,0,0,4545.977778
270,N,0,0.072222222,0.133333333,0.222222222
271,(AFL,1,0.1,0.152777778,0.5
272,N,0,0.080555556,0.111111111,0.169444444
273,N,0,0.083333333,0.147222222,0.247222222
274,j,1,0.027777778,0.072222222,0.180555556
275,(AFIB,1,0.197222222,0.3,0.444444444
276,J,1,0.136111111,0.091666667,-3334.55
277,j,1,0.233333333,0.102777778,0.436111111
278,(AFL,1,0.330555556,0.122222222,0.136111111
279,N,0,0.1,0.15,0.308333333
280,J,1,0,0,3951.033333
281,j,1,4362.047222,4361.902778,0.169444444
282,(AFIB,1,0,0,3915.177778
283,j,1,0.133333333,0.238888889,0.497222222
284,j,1,0,0,0
285,j,1,0,0,4399.088889
286,(AFL,1,0.052777778,0.097222222,0.302777778
287,(AFL,1,0.091666667,0.144444444,0.336111111
288,J,1,0,0,3957.477778
289,j,1,0.272222222,0.197222222,0.375
290,j,1,0,0,4175.108333
291,j,1,0.219444444,0.169444444,0.197222222
292,N,0,0.077777778,0.136111111,0.197222222
293,N,0,0.086111111,0.144444444,0.275
294,J,1,0.105555556,0.15,0.338888889
295,J,1,0.2,0.113888889,0.361111111
296,J,1,0.083333333,0.127777778,0.35
297,j,1,0.122222222,0.066666667,0.141666667
298,(AFIB,1,0,0,3729.25
299,j,1,0.358333333,0.169444444,0.438888889
300,J,1,0,0,3391.886111
301,J,1,0.080555556,0.122222222,0.344444444
302,(AFIB,1,0.219444444,0.102777778,0.205555556
303,(AFL,1,0.086111111,0.163888889,0.113888889
304,(AFIB,1,0.177777778,0.105555556,0.338888889
305,j,1,0.183333333,0.088888889,0.161111111
306,j,1,0.058333333,0.108333333,0.275
307,(AFIB,1,0,0,4694.322222
308,j,1,0,0,4563.361111
309,j,1,0,0,4262.316667
310,j,1,0,0,3885.158333
311,(AFIB,1,0,0,4172.697222
312,j,1,0,0,3828.905556
313,(AFIB,1,0,0,0
314,(AFIB,1,0.069444444,0.113888889,-3872.802778
315,(AFIB,1,0,0,3179.886111
316,J,1,0,0,3373.9
317,N,0,0.075,0.127777778,0.213888889
318,j,1,0,0,4448.747222
319,J,1,0,0,3395.847222
320,J,1,0.080555556,0.105555556,0.316666667
321,j,1,0.138888889,0.069444444,0.158333333
322,j,1,4351.791667,4351.711111,0.397222222
323,N,0,0.047222222,0.102777778,0.244444444
324,j,1,4464.283333,4464.2,0.161111111
325,N,0,0.077777778,0.127777778,0.216666667
326,j,1,0.283333333,0.108333333,0.136111111
327,J,1,0,0,3420.219444
328,(AFIB,1,0,0,3916.536111
329,j,1,0,0,4564.2
330,j,1,0,0,3707.166667
331,(AFL,1,0.166666667,0.113888889,0.125
332,J,1,0.094444444,0.15,0.366666667
333,j,1,0.063888889,0.188888889,0.302777778
334,N,0,0.077777778,0.133333333,0.205555556
335,j,1,0,0,4880.411111
336,(AFIB,1,0.194444444,0.080555556,0.241666667
337,(AFIB,1,0.191666667,0.116666667,0.225
338,(AFIB,1,0.061111111,0.113888889,0.344444444
339,j,1,0,0,4214.808333
340,J,1,0,0,3419.163889
341,j,1,0.163888889,0.086111111,0.405555556
342,J,1,0,0,3378.775
343,(AFIB,1,0,0,0
344,J,1,0.341666667,0.208333333,-3789.958333
345,(AFIB,1,0,0,0
346,j,1,0,0,4634.188889
347,j,1,0.208333333,0.15,-4369.441667
348,J,1,0,0,3384.227778
349,(AFIB,1,0.269444444,0.152777778,0.172222222
350,J,1,0.141666667,0.258333333,0.577777778
351,j,1,0.019444444,0.030555556,0.397222222
352,J,1,0,0,3379.711111
353,j,1,0.230555556,0.166666667,0.138888889
354,(AFIB,1,0.2,0.305555556,0.375
355,J,1,0.15,0.216666667,0.375
356,J,1,0,0,3383.313889
357,J,1,0.161111111,0.133333333,0.291666667
358,j,1,0,0,4208.058333
359,(AFIB,1,0.105555556,0.186111111,-4290.202778
360,(AFL,1,0.102777778,0.180555556,0.325
361,J,1,0.169444444,0.122222222,0.369444444
362,j,1,0.219444444,0.111111111,0.388888889
363,j,1,0,0,4543.936111
364,(AFIB,1,0,0,0
365,(AFL,1,0.072222222,0.163888889,0.327777778
366,J,1,0,0,3385.338889
367,j,1,0,0,3856.25
368,j,1,0.127777778,0.066666667,0.208333333
369,N,0,0,0,4888.652778
370,(AFIB,1,0,0,0
371,(AFIB,1,0.166666667,0.25,0.330555556
372,N,0,0.261111111,0.163888889,0.147222222
373,(AFL,1,0.061111111,0.105555556,0.363888889
374,J,1,0.205555556,0.375,0.538888889
375,j,1,3726.002778,3726.041667,0.194444444
376,(AFL,1,0.094444444,0.158333333,0.266666667
377,j,1,4368.594444,4368.505556,0.138888889
378,j,1,0.277777778,0.197222222,0.136111111
379,j,1,0.202777778,0.127777778,0.477777778
380,N,0,0,0,3735.513889
381,j,1,0,0,4440.408333
382,J,1,0,0,3957.077778
383,j,1,0.147222222,0.091666667,0.186111111
384,J,1,0.105555556,0.155555556,0.202777778
385,(AFIB,1,0,0,0
386,j,1,0.216666667,0.147222222,0.366666667
387,J,1,0.166666667,0.127777778,0.361111111
388,j,1,0.211111111,0.183333333,0.230555556
389,N,0,0.111111111,0.144444444,0.175
390,(AFIB,1,0,0,0
391,j,1,0,0,4342.941667
392,j,1,0.208333333,0.072222222,0.088888889
393,j,1,0.35,0.313888889,0.094444444
394,J,1,0,0,3388.244444
395,J,1,0.1,0.15,0.363888889
396,N,0,0.094444444,0.180555556,0.219444444
397,j,1,0.222222222,0.083333333,0.141666667
398,J,1,0,0,3941.011111
399,j,1,0,0,3606.252778
400,j,1,0,0,3920.833333
401,j,1,0,0,4562.325
402,j,1,0.133333333,0.122222222,0.402777778
403,(AFIB,1,0.208333333,0.325,-4480.552778
404,N,0,0.072222222,0.152777778,0.255555556
405,j,1,0,0,4670.144444
406,(AFIB,1,0,0,3779.505556
407,N,0,0.063888889,0.116666667,0.194444444
408,j,1,0.2,0.119444444,0.141666667
409,J,1,0,0,3937.391667
410,j,1,0.297222222,0.113888889,0.394444444
411,j,1,0,0,4421.958333
412,(AFL,1,0.291666667,0.122222222,0.344444444
413,(AFIB,1,0,0,3563.138889
414,j,1,4334.216667,4334.1,0.097222222
415,j,1,0.3,0.236111111,0.138888889
416,j,1,0,0,4319.85
417,(AFIB,1,0.061111111,0.122222222,-4415.527778
418,j,1,0,0,4173.286111
419,(AFIB,1,4783.894444,4783.975,0.266666667
420,(AFL,1,0.261111111,0.177777778,0.366666667
421,(AFIB,1,0,0,0
422,N,0,0.102777778,0.147222222,0.175
423,j,1,0,0,3948.861111
424,j,1,0,0,3864.061111
425,(AFIB,1,0,0,0
426,(AFL,1,0,0,4442.833333
427,j,1,0,0,4520.888889
428,J,1,0.202777778,0.269444444,0.372222222
429,N,0,0.083333333,0.127777778,0.202777778
430,j,1,0,0,3635.788889
431,N,0,0.088888889,0.136111111,0.197222222
432,j,1,0.066666667,0.094444444,0.538888889
433,J,1,0,0,3423.402778
434,(AFL,1,0.088888889,0.15,0.363888889
435,j,1,0.083333333,0.055555556,0.213888889
436,J,1,0.180555556,0.127777778,0.247222222
437,j,1,0.211111111,0.138888889,0.136111111
438,j,1,0,0,4315.408333
439,J,1,0.141666667,0.111111111,0.355555556
440,j,1,0.061111111,0.1,0.233333333
441,N,0,0.255555556,0.138888889,0.058333333
442,j,1,0,0,4354.25
443,j,1,0.180555556,0.072222222,0.091666667
444,j,1,0,0,4637.866667
445,j,1,0.305555556,0.191666667,0.091666667
446,N,0,0.077777778,0.130555556,0.230555556
447,(AFL,1,0.127777778,0.211111111,0.308333333
448,j,1,0,0,3831.852778
449,J,1,0,0,3382.505556
450,(AFIB,1,0.116666667,0.066666667,0.158333333
451,(AFIB,1,0.105555556,0.136111111,0.236111111
452,j,1,0,0,3733.047222
453,N,0,0.088888889,0.133333333,0.216666667
454,J,1,0.091666667,0.136111111,0.361111111
455,j,1,0,0,4455.927778
456,j,1,0,0,4275.808333
457,j,1,0,0,4278.744444
458,(AFL,1,0,0,4326.883333
459,J,1,0.155555556,0.102777778,0.344444444
460,j,1,0,0,3883.288889
461,(AFIB,1,0,0,3993.855556
462,j,1,0.063888889,0.113888889,0.208333333
463,j,1,0.066666667,0.094444444,-4451.780556
464,j,1,0,0,4477.363889
465,(AFIB,1,0,0,0
466,(AFL,1,0.172222222,0.244444444,0.286111111
467,j,1,0,0,3835.538889
468,(AFIB,1,0.080555556,0.166666667,0.325
469,j,1,0,0,3734.069444
470,j,1,0,0,3608.705556
471,(AFIB,1,0,0,4011.388889
472,J,1,0.080555556,0.111111111,0.325
473,N,0,0.325,0.230555556,0.180555556
474,(AFIB,1,0.15,0.075,0.211111111
475,(AFL,1,0.241666667,0.125,0.405555556
476,J,1,0.091666667,0.144444444,0.355555556
477,J,1,0,0,3377.861111
478,(AFIB,1,0,0,0
479,(AFL,1,0.075,0.127777778,0.238888889
480,j,1,0,0,4263.683333
481,(AFIB,1,0,0,4213.655556
482,(AFIB,1,0.130555556,0.116666667,0.188888889
483,j,1,0.163888889,0.030555556,0.402777778
484,N,0,0.088888889,0.15,0.244444444
485,J,1,0.058333333,0.108333333,0.363888889
486,J,1,0.111111111,0.158333333,0.280555556
487,(AFL,1,0.197222222,0.102777778,0.258333333
488,(AFL,1,0.061111111,0.080555556,0.133333333
489,j,1,0,0,0
490,(AFIB,1,0.325,0.125,0.336111111
491,j,1,0,0,4677.7
492,j,1,0.094444444,0.136111111,0.213888889
493,j,1,0.186111111,0.119444444,0.236111111
494,N,0,0.105555556,0.183333333,0.411111111
495,J,1,0.225,0.419444444,0.530555556
496,j,1,0,0,3603.3
497,N,0,0.072222222,0.1,0.163888889
498,(AFIB,1,0.225,0.175,-4172.572222
499,j,1,0,0,3827.633333
500,j,1,0,0,3974.816667
501,j,1,0,0,4596.797222
502,(AFIB,1,0,0,3192.9
503,J,1,0.119444444,0.183333333,0.255555556
504,(AFIB,1,0,0,0
505,j,1,0,0,0
506,N,0,0,0,3466.244444
507,j,1,0,0,3928.697222
508,(AFL,1,0,0,4656.794444
509,j,1,0.036111111,0.147222222,0.347222222
510,j,1,0,0,4752.333333
511,J,1,0.083333333,0.119444444,0.336111111
512,(AFIB,1,0,0,3188.263889
513,(AFIB,1,0.219444444,0.125,0.413888889
514,J,1,0.186111111,0.113888889,0.355555556
515,(AFIB,1,0,0,3598.711111
