,File,Abnormal,Result,R-R Interval,R Height,R_Onset-Rpeak,Q-Q Interval,Q Height,P_Onset-P_Offset,P Height,P-P Interval,P_Onset-Ppeak
27497,116,1,V,183,1509,44,143,782,67,854,137,44
62710,215,0,N,176,1194,18,178,953,24,981,180,10
76375,231,1,N,367,1338,16,366,975,38,1029,362,19
79574,233,0,N,213,1299,40,216,907,49,969,216,23
41271,201,0,N,235,1194,40,245,956,26,974,242,15
32576,119,0,N,340,1308,17,333,841,34,920,337,19
59742,214,1,N,373,1383,31,349,977,39,1002,353,17
46314,205,0,N,263,1166,18,264,946,37,972,263,15
35770,122,0,N,272,1210,23,272,811,39,901,269,19
75988,231,1,N,328,1303,18,328,944,37,1021,332,19
29677,118,1,N,295,1104,20,285,850,22,910,297,16
24989,115,0,N,321,1304,18,314,883,38,922,320,19
65674,220,0,N,310,1277,26,312,917,34,942,313,16
25698,115,0,N,305,1332,22,309,899,37,941,304,19
34136,121,0,N,368,1038,25,364,847,14,863,371,4
54143,212,1,N,245,1273,24,249,977,33,1035,246,19
67134,222,1,S,192,1145,15,198,953,31,1039,186,13
82426,234,0,N,239,1324,22,239,979,36,1035,242,19
18103,111,1,N,306,1083,12,262,909,43,923,324,23
4147,102,1,Q,291,1155,26,286,978,19,986,250,5
51086,209,0,N,232,1210,36,241,862,42,981,249,20
72467,228,0,N,454,1183,26,460,987,36,1040,452,20
21892,112,0,N,263,1018,51,275,845,47,882,274,26
1306,100,0,N,292,1245,20,291,927,19,989,298,6
2115,100,0,N,298,1226,22,297,902,19,992,297,5
14805,108,0,N,394,898,12,410,965,41,1014,394,26
36988,122,0,N,262,1221,24,262,828,36,916,264,16
50987,209,0,N,226,1278,22,230,980,21,992,230,15
11695,106,0,N,268,1423,41,268,946,32,1025,266,16
26290,116,0,N,271,1525,40,272,794,40,844,271,21
18919,111,1,N,308,1152,16,348,990,44,992,308,19
6538,103,0,N,317,1399,20,317,916,29,969,317,18
28228,116,0,N,266,1076,42,272,768,42,825,266,22
27461,116,0,N,268,1397,43,267,820,47,869,270,25
69800,223,0,N,263,1276,52,262,918,45,953,259,25
34547,121,0,N,368,1021,24,365,851,13,861,379,3
82004,234,0,N,246,1341,20,245,979,39,1034,246,22
21696,112,0,N,258,1011,18,252,859,39,895,259,20
42473,202,0,N,335,1260,31,340,973,39,1008,337,19
64682,220,0,N,299,1268,32,298,904,28,927,298,15
83081,234,0,N,242,1370,39,242,999,37,1056,240,18
5744,103,0,N,309,1363,19,309,923,48,974,311,19
65413,220,0,N,308,1326,38,309,890,35,915,309,16
2664,101,0,N,338,1331,19,338,936,45,977,339,22
66084,221,0,N,227,1320,31,233,975,31,988,222,23
6804,103,0,N,314,1373,18,314,936,47,981,314,17
1191,100,0,N,305,1197,19,307,915,23,973,303,16
40000,200,1,V,177,1255,26,171,993,34,1013,164,21
26912,116,0,N,259,1245,20,259,643,39,701,261,21
39467,124,1,N,389,1349,19,386,889,30,912,376,23
2301,101,0,N,302,1244,47,302,927,38,967,305,18
13212,106,0,N,385,1456,18,386,966,28,1030,386,12
46604,205,0,N,265,1189,17,265,938,37,969,263,11
80800,234,0,N,232,1289,18,229,936,38,991,232,18
79626,233,0,N,204,1357,41,204,988,43,1053,203,21
81237,234,0,N,234,1313,43,233,967,38,1024,231,18
58018,213,0,N,194,1470,21,211,905,28,986,193,16
49994,209,1,S,136,1256,17,132,985,36,1021,132,20
10857,105,0,N,245,1251,22,246,951,27,1010,242,9
14454,108,0,N,370,1142,27,345,979,35,1028,377,21
76007,231,1,N,363,1320,17,364,932,37,1010,360,19
16186,109,1,N,273,1273,26,281,958,15,1010,280,9
12843,106,1,V,179,1475,75,155,985,71,1073,137,42
59158,214,1,N,258,1288,32,262,986,44,1013,257,22
16733,109,1,N,277,1331,28,282,957,18,1010,269,10
32939,119,0,N,476,1240,22,506,799,33,881,510,18
34367,121,0,N,362,1071,41,363,893,24,907,361,18
16039,109,1,N,266,1319,28,265,963,16,1021,260,10
63048,215,0,N,65,1212,17,44,973,37,998,63,16
53032,210,0,N,228,1241,23,210,986,49,1016,209,31
41562,201,0,N,455,1197,36,475,972,44,994,486,20
46049,205,0,N,260,1188,17,260,956,37,982,259,18
34608,121,0,N,383,1027,23,383,841,17,856,365,11
45838,205,0,N,248,1162,17,249,930,45,962,248,23
5202,102,1,Q,302,1199,21,267,958,15,972,223,6
24221,115,0,N,410,1224,21,407,806,41,835,410,20
70505,223,0,N,245,1349,51,246,934,38,973,247,18
5955,103,0,N,300,1386,19,300,954,49,1011,294,21
75723,231,0,N,363,1360,16,369,961,32,1020,417,15
5505,102,1,Q,313,1183,20,309,970,18,972,281,5
66521,222,0,N,269,1152,43,269,1001,37,1063,265,18
25458,115,0,N,377,1291,19,375,899,42,931,378,19
11963,106,0,N,315,1263,38,314,967,35,995,316,20
75299,231,1,N,327,1337,17,367,952,28,1018,370,14
22441,114,0,N,595,952,12,619,931,28,1014,610,17
41331,201,0,N,417,1178,61,412,952,47,982,419,22
10353,105,0,N,259,1249,21,256,927,32,978,256,17
964,100,0,N,271,1216,18,271,919,48,988,272,34
78862,232,1,S,262,1103,25,279,963,17,974,266,8
56954,213,1,F,199,1508,22,206,941,28,1014,199,15
4547,102,1,Q,304,1185,17,298,963,14,977,300,5
54163,212,1,N,232,1244,46,234,935,36,1001,234,20
72179,228,0,N,260,1210,24,256,992,45,1050,262,25
69749,223,0,N,244,1361,29,243,933,39,970,243,21
46761,205,0,N,258,1204,16,259,957,35,977,261,15
29096,117,0,N,426,905,58,420,833,45,878,427,21
36199,122,0,N,271,1195,24,270,794,48,883,266,19
58533,213,0,N,202,1411,19,188,840,27,909,204,14
20818,112,0,N,247,979,52,246,807,31,844,241,19
9797,105,0,N,246,1269,19,228,954,34,1012,246,20
19765,111,1,N,277,1123,13,273,944,44,972,282,19
80156,233,0,N,206,1348,42,204,988,39,1056,202,18
50858,209,0,N,219,1224,23,218,959,33,999,214,23
56337,213,0,N,192,1466,27,193,983,26,1070,194,13
7761,104,1,Q,291,1072,25,323,949,16,966,304,8
19805,112,0,N,260,999,16,265,846,48,883,262,27
6387,103,0,N,301,1384,18,302,914,49,962,303,19
25764,115,0,N,343,1357,24,338,889,45,918,345,25
39347,124,1,N,408,1367,18,394,939,22,965,410,7
6825,103,0,N,301,1347,17,302,934,51,976,306,18
23485,114,0,N,350,936,10,367,951,15,1000,349,8
24195,115,0,N,360,1293,23,362,867,38,898,361,20
45863,205,0,N,232,1168,21,232,952,37,975,229,18
45907,205,0,N,234,1204,18,220,905,24,930,231,16
39792,200,0,N,266,1193,30,288,981,30,996,263,20
12227,106,0,N,306,1206,35,307,975,32,1007,306,16
9178,105,0,N,251,1278,23,252,950,26,1014,253,13
43580,203,0,N,134,1251,17,117,952,25,1025,128,9
27696,116,0,N,268,1478,38,269,782,30,836,268,9
63370,217,1,Q,319,1121,25,343,969,14,976,335,7
33485,119,0,N,324,1225,17,325,775,32,858,327,18
8843,104,1,Q,291,1042,22,297,949,31,956,305,4
26980,116,0,N,287,1395,20,285,781,30,827,282,9
33644,121,0,N,343,1051,42,346,851,18,872,344,6
33193,119,0,N,469,1249,24,497,833,29,859,498,15
13752,107,1,Q,314,1310,30,260,924,60,1033,246,18
29180,117,0,N,423,721,7,420,827,40,868,421,19
67794,222,1,N,322,1160,14,269,1006,35,1028,345,25
81486,234,0,N,229,1303,47,229,972,37,1030,227,17
12431,106,1,V,179,1170,26,151,957,67,1032,136,38
29463,118,1,N,295,1158,23,309,886,28,954,292,21
2073,100,0,N,288,1215,18,287,914,44,968,284,28
72078,228,0,N,335,1157,26,333,939,47,979,388,30
6888,103,0,N,298,1418,18,299,952,47,1018,303,18
41233,201,0,N,271,1178,40,280,966,34,979,277,28
72160,228,1,V,205,1548,36,195,1031,82,1245,178,69
82547,234,0,N,234,1326,44,233,969,40,1031,233,15
25026,115,0,N,317,1365,26,314,923,38,950,323,20
65014,220,0,N,331,1319,24,332,894,20,920,333,13
6688,103,0,N,292,1332,18,292,917,50,958,293,19
26836,116,0,N,272,1543,39,273,793,45,839,272,24
73044,230,0,N,262,1225,55,259,962,40,1006,265,18
51421,209,0,N,235,1248,23,234,973,58,1007,236,32
27454,116,0,N,274,1406,21,267,804,42,862,272,22
40291,200,0,N,235,1216,19,222,971,17,1014,263,8
81511,234,0,N,233,1324,40,230,981,36,1026,234,19
57537,213,1,S,162,1456,18,160,906,79,1073,144,43
14916,108,0,N,330,953,12,337,1067,47,1130,319,30
12278,106,0,N,351,1418,39,351,970,29,1040,352,13
45035,205,0,N,231,1139,18,229,951,44,973,227,19
10324,105,0,N,253,1382,26,276,1073,19,1111,246,10
518,100,0,N,288,1227,21,286,928,52,991,289,36
72260,228,0,N,290,1152,26,290,943,31,974,298,14
72875,230,0,N,284,1243,20,281,962,38,1004,282,18
6936,103,0,N,328,1260,18,329,842,48,887,328,19
48879,208,0,N,226,1314,42,220,957,32,992,226,17
71764,228,0,N,337,1141,25,338,935,42,982,357,23
22396,114,0,N,370,920,11,385,990,33,1008,362,18
11701,106,0,N,362,1257,39,362,970,34,1017,359,17
36597,122,0,N,255,1199,23,255,820,45,910,252,18
26312,116,0,N,275,1492,22,274,766,47,815,274,29
21127,112,0,N,257,969,17,253,820,27,859,259,7
3824,101,0,N,367,1308,18,368,950,37,992,367,12
41979,201,0,N,410,1198,24,406,980,40,1010,416,19
39591,124,1,N,386,1271,18,392,863,34,883,376,25
66716,222,0,N,287,1102,40,287,987,37,1038,288,20
26731,116,0,N,266,1433,43,266,782,47,839,264,28
3657,101,0,N,339,1321,18,338,979,43,1009,341,24
41620,201,0,N,506,1191,32,545,971,47,999,482,25
7688,103,0,N,331,1301,18,332,921,30,959,337,19
48446,208,0,N,274,1320,21,327,980,31,1006,284,13
46929,205,0,N,261,1187,17,261,943,37,969,264,17
63682,217,1,Q,305,1102,27,314,961,12,971,285,5
63127,217,1,Q,299,1091,38,307,956,20,982,286,6
14860,108,0,N,361,892,12,386,987,43,1047,365,28
53932,212,1,N,215,1196,44,220,955,35,1022,217,19
41968,201,0,N,414,1181,29,413,975,41,1004,413,20
64353,220,0,N,296,1326,37,296,902,35,931,294,16
52669,210,0,N,277,1194,27,302,954,28,966,243,20
45382,205,0,N,236,1189,19,236,880,37,918,236,16
82093,234,0,N,237,1307,45,236,960,36,1018,237,17
74429,230,0,N,245,1312,25,250,944,42,986,242,19
29761,118,1,N,248,1084,28,245,783,23,847,249,15
49824,209,0,N,199,1275,17,206,985,45,1017,197,16
45669,205,0,N,240,1212,17,241,944,36,974,243,13
77969,232,1,S,267,1129,31,253,964,18,981,289,8
14348,108,0,N,375,1166,27,376,952,33,1012,377,15
82925,234,0,N,235,1342,40,237,969,38,1033,238,19
4998,102,1,Q,316,1136,28,339,957,16,974,331,3
33539,119,0,N,336,1251,21,339,791,33,869,331,18
4356,102,1,Q,299,1164,20,263,966,16,969,241,5
26840,116,0,N,265,1544,20,263,793,44,843,266,25
40734,200,0,N,192,1250,21,183,999,17,1023,184,8
55189,212,1,N,238,1299,44,241,974,34,1038,240,19
48773,208,0,N,198,1294,17,231,946,31,971,182,16
50273,209,1,S,133,1221,14,129,973,27,1034,135,8
59474,214,1,N,288,1398,22,291,967,36,982,289,14
18278,111,1,N,318,1167,14,284,954,45,981,315,18
14018,108,0,N,402,939,13,407,976,46,1043,405,30
45620,205,0,N,235,1187,17,245,953,30,980,232,7
20096,112,0,N,253,1036,53,254,878,49,917,254,28
54505,212,1,N,229,1202,49,227,909,33,977,226,17
52443,210,0,N,252,1210,19,254,973,43,986,249,22
52334,210,0,N,252,1207,21,265,978,27,997,262,10
7944,104,0,N,272,1284,22,276,967,20,999,275,8
71833,228,0,N,434,1137,29,433,914,30,960,498,11
22540,114,0,N,388,862,10,376,973,30,995,395,17
24629,115,0,N,338,1355,23,337,881,42,911,333,22
14275,108,0,N,375,831,14,382,889,41,920,377,27
122,100,0,N,280,1218,18,280,919,26,991,279,19
4229,102,1,Q,304,1173,28,315,948,18,960,296,12
27165,116,0,N,269,1417,20,262,775,43,813,269,23
18044,111,1,N,296,1163,13,256,970,42,994,302,19
41130,201,0,N,158,1207,29,153,986,49,1006,191,21
35858,122,0,N,291,1214,25,291,827,39,913,293,15
22377,114,0,N,375,912,9,369,997,29,1021,385,20
14440,108,0,N,423,1193,41,417,955,34,1009,418,20
51348,209,0,N,206,1231,17,206,962,38,985,213,11
47614,208,0,N,229,1355,20,271,964,13,990,256,9
64577,220,0,N,302,1310,35,303,891,34,925,303,14
52758,210,0,N,255,1192,24,267,1024,43,1033,267,22
57823,213,0,N,200,1501,22,200,976,27,1067,199,14
80653,234,0,N,242,1315,45,242,970,36,1019,241,18
22261,112,0,N,258,990,18,263,838,38,882,258,19
